SMI_ID,SMILES
SMI_27655CC011,O=C1Nc2ccccc2C1=O
SMI_F2A0BD24FA,CC1(C)C2CCC1(C)C(O)C2
SMI_B312FD611C,OC1CCCc2ccccc21
SMI_B48908E863,COc1cccc(CO)c1
SMI_72E102D3B3,CCC=O
SMI_28A6ABDC5E,O=C1CCCC1
SMI_45AA8CA6CB,OC1CCc2ccccc21
SMI_DDC18E4668,COC(=O)C(=O)c1ccccc1Cl
SMI_9A541C8EDC,NCCCCO
SMI_E3BCA655F0,OC1CCCC2CCCCC12
SMI_50CC80BC23,CCOC(=O)C(=O)c1ccccc1
SMI_550729BF89,CO
SMI_1D427A25D6,CC(=O)C(=O)c1ccccc1
SMI_7E627090AC,OC1CCCCCC1
SMI_4009B3F3D7,O=C(c1ccccc1)C(F)(F)F
SMI_C20AB700E2,COC(=O)C(=O)c1ccccc1
SMI_A2FE2176EE,CC(C)=O
SMI_D832F8BCAB,CC(C)CCCO
SMI_E8DF49DAD1,CC(=O)C(C)C
SMI_9E3F5E3438,CC(=O)c1c(F)c(F)c(F)c(F)c1F
SMI_96F9520D53,O=C([O-])C(O)C(O)C(O)C(O)CO
SMI_7BE441F785,O=C([O-])C(=O)CC(O)C(O)CO
SMI_ACFFC76E58,O=C1CCCCC1
SMI_FD1937B363,CCC(C)=O
SMI_5F43DD8C68,CCCC(C)=O
SMI_8608D43068,O=C([O-])C(O)C(O)C(O)CO
SMI_C12D5C8623,O=CCO
SMI_0E78C58249,CCOC(=O)C(=O)C(C)C
SMI_8FE7E6967E,OCCCO
SMI_3EF3F01968,C=O
SMI_B3A2F46FC4,OCCO
SMI_4B78076E8C,CC1CCCC(=O)C1
SMI_ED3751F9CB,CCC(=O)CC
SMI_6371B6BF1B,OCC(O)C(O)C(O)CO
SMI_9995D807F5,O=CCC(O)C(O)CO
SMI_978781CED0,OCC(O)C(O)C(O)C(O)CO
SMI_8EC5351BEF,CC(C)(C)O
SMI_D5468B37DD,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.O=CC(O)CO.[H+]
SMI_A01CA37213,CC(=O)C=O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+]
SMI_F0EEBF9B51,CC(=O)CO.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+]
SMI_224420826E,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.O=C(CO)CO.[H+]
