SMI_ID,SMILES,SCAFFOLD_SMILES,SCAFFOLD_ID
SMI_7998D47E2A,O.O=C(COC1OC(CO)C(O)C(O)C1O)C(O)C(O)C(O)CO,C1CCOCC1,SCF_66AB85A70A
SMI_7BB99BF040,O.O=C(CO)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,C1CCOCC1,SCF_66AB85A70A
SMI_26C563DF92,O.O=C(CO)C(O)C(O)C(CO)OC1OC(CO)C(O)C(O)C1O,C1CCOCC1,SCF_66AB85A70A
SMI_4473AB36A9,O.O=C(CO)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O,C1CCOCC1,SCF_66AB85A70A
SMI_60E4E665F1,CC1OC(Oc2ccc([N+](=O)[O-])cc2)C(O)C(O)C1O.O,c1ccc(OC2CCCCO2)cc1,SCF_1072FBC11C
SMI_D68465ED5F,O.O=CC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O,C1CCOCC1,SCF_66AB85A70A
SMI_5A764F3E14,O.O=CC(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(O)CO,C1CCOCC1,SCF_66AB85A70A
SMI_82AF8A8DF7,O.OCC1OC(OC2C(O)C(CO)OC(OC3C(O)C(O)OC(CO)C3O)C2O)C(O)C(O)C1O,C1CCC(OC2CCOC(OC3CCOCC3)C2)OC1,SCF_1624A83C37
SMI_20326EAEE0,CCCCCCCCOC1OC(CO)C(O)C(O)C1O.O,C1CCOCC1,SCF_66AB85A70A
SMI_9D029C695C,O.OCC1OC(OC2C(O)OC(CO)C(O)C2O)C(O)C(O)C1O,C1CCC(OC2CCCOC2)OC1,SCF_AF38824CA4
SMI_B6C466E5D6,Cc1cc(=O)oc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12.O,O=c1ccc2ccc(OC3CCCCO3)cc2o1,SCF_096B2D52FD
SMI_437310A582,O.OCC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,C1CCC(OC2CCC(OC3CCCOC3)OC2)OC1,SCF_333722F137
SMI_50C4B5F91A,O.O=[N+]([O-])c1ccc(OC2OCC(O)C(O)C2O)cc1,c1ccc(OC2CCCCO2)cc1,SCF_1072FBC11C
SMI_99C530A944,O.O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,O=c1c(-c2ccccc2)coc2cc(OC3CCCCO3)ccc12,SCF_39F5EA4448
SMI_87EAE8D6FE,O.O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12,O=c1c(-c2ccccc2)coc2cc(OC3CCCCO3)ccc12,SCF_39F5EA4448
SMI_F8A4F82129,O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,SCF_BDA26CE8D6
SMI_1CC6680D88,O.O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)c(O)c2)oc2cc(O)cc(O)c12,O=c1c(OC2CCCCO2)c(-c2ccc(OC3CCCCO3)cc2)oc2ccccc12,SCF_D81662227B
